S.no.,Date,Open,High,Low,Close,neg,pos
0,2009-06-18,8496.73,8590.52,8475.12,8555.6,0.6436,0.3564
1,2009-06-19,8556.96,8616.59,8496.73,8539.73,0.6369,0.3631
2,2009-06-20,8547.74,8577.71,8415.64,8439.37,0.6488,0.3512
3,2009-06-21,8543.13,8558.27,8375.09,8389.19,0.6476,0.3524
4,2009-06-22,8538.52,8538.83,8334.55,8339.01,0.6476,0.3524
5,2009-06-23,8340.44,8370.9,8286.41,8322.91,0.6623,0.3377
6,2009-06-24,8323.51,8428.41,8259.88,8299.86,0.6601,0.3399
7,2009-06-25,8299.25,8490.46,8259.43,8472.4,0.647,0.353
8,2009-06-26,8468.54,8468.77,8401.36,8438.39,0.747,0.253
9,2009-06-27,8454.33,8501,8415.23,8483.88,0.6692,0.3308
10,2009-06-28,8447.23,8517.11,8422.16,8506.63,0.655,0.345
11,2009-06-29,8440.13,8533.23,8429.09,8529.38,0.6436,0.3564
12,2009-06-30,8528.93,8560.44,8393.95,8447,0.6227,0.3773
13,2009-07-01,8447.53,8580.47,8447.53,8504.06,0.6548,0.3452
14,2009-07-02,8503,8503.23,8280.74,8280.74,0.6462,0.3538
15,2009-07-03,8391.15,8415.6,8243.36,8302.81,0.6298,0.3702
16,2009-07-04,8335.22,8371.78,8224.67,8313.84,0.6242,0.3758
17,2009-07-05,8307.26,8349.88,8215.33,8319.35,0.6329,0.3671
18,2009-07-06,8279.3,8327.97,8205.99,8324.87,0.6327,0.3673
19,2009-07-07,8324.95,8326.31,8154.38,8163.6,0.6512,0.3488
20,2009-07-08,8157.02,8219.52,8087.19,8178.41,0.6628,0.3372
21,2009-07-09,8179.01,8228.67,8145.31,8183.17,0.6312,0.3688
22,2009-07-10,8182.49,8183.85,8093.31,8146.52,0.6523,0.3477
23,2009-07-11,8164.65,8257.76,8111.86,8239.1,0.6203,0.3797
24,2009-07-12,8155.73,8294.72,8121.14,8285.39,0.6229,0.3771
25,2009-07-13,8146.82,8331.68,8130.42,8331.68,0.6433,0.3567
26,2009-07-14,8331.37,8361.23,8285.2,8359.49,0.6367,0.3633
27,2009-07-15,8363.95,8628.23,8363.95,8616.21,0.6441,0.3559
28,2009-07-16,8612.66,8739.55,8584.4,8711.82,0.6388,0.3612
29,2009-07-17,8711.89,8754.29,8674.41,8743.94,0.6477,0.3523
30,2009-07-18,8728.97,8804.55,8710.15,8796.05,0.6496,0.3504
31,2009-07-19,8737.51,8829.67,8728.02,8822.1,0.6242,0.3758
32,2009-07-20,8746.05,8854.8,8745.9,8848.15,0.619,0.381
33,2009-07-21,8848.15,8927.13,8811.27,8915.94,0.6212,0.3788
34,2009-07-22,8912.39,8949.8,8860.32,8881.26,0.6459,0.3541
35,2009-07-23,8882.31,9096.72,8866.44,9069.29,0.6573,0.3427
36,2009-07-24,9066.11,9100.88,9007.39,9093.24,0.6528,0.3472
37,2009-07-25,9079.6,9112.14,9020.95,9100.88,0.6433,0.3567
38,2009-07-26,9086.35,9117.77,9027.74,9104.69,0.6419,0.3581
39,2009-07-27,9093.09,9123.4,9034.52,9108.51,0.6418,0.3582
40,2009-07-28,9106.92,9124.91,9007.47,9096.72,0.6501,0.3499
41,2009-07-29,9092.34,9094.83,9014.19,9070.72,0.6613,0.3387
42,2009-07-30,9072.84,9246.43,9072.61,9154.46,0.6521,0.3479
43,2009-07-31,9154.61,9218.77,9133.45,9171.61,0.6486,0.3514
44,2009-08-01,9164.13,9258.6,9153.55,9229.08,0.6131,0.3869
45,2009-08-02,9168.89,9278.51,9163.6,9257.82,0.6326,0.3674
